CCUG Number	Strain	Source	Depositor	Deposit Date
54547T	Pseudoxanthobacter soli	Soil	P.Kämpfer, Giessen, Germany	2007-03-20
54535T	Pediococcus argentinicus	Wheat flour, commercial	K.De Bruyne, LMG, Gent, Belgium	2007-03-19
54536T	Leuconostoc holzapfelii	Coffee fermentation	K.De Bruyne, LMG, Gent, Belgium	2007-03-19
54537T	Microbacterium luticocti	Compost, municipal sewage sludge	C.M.Manaia, Porto, Portugal	2007-03-19
54538T	Humibacter albus	Compost, municipal sewage sludge	C.M.Manaia, Porto, Portugal	2007-03-19
54518T	Hydrogenophaga bisanensis	Wastewater of a dyeworks	Jung-Hoon Yoon, KRIBB, Taejon, South Korea	2007-03-16
54519T	Chelatococcus daeguensis	Wastewater of a dye-works	Jung-Hoon Yoon, KRIBB, Yusong, Taejon, Korea	2007-03-16
54520T	Daeguia caeni	Sludge of a dye-works	Jung-Hoon Yoon, KRIBB, Yusong, Taejon, Korea	2007-03-16
54521T	Pedococcus dokdonensis	Soil	Jung-Hoon Yoon, KRIBB, Yusong, Taejon, Korea	2007-03-16
54522T	Nocardioides hankookensis	Soil	Jung-Hoon Yoon, KRIBB, Taejon, South Korea	2007-03-16
54523T	Microbacterium insulae	Soil	Jung-Hoon Yoon, KRIBB, Taejon, Korea	2007-03-16
54526T	Ignatzschineria larvae	Larval stages of Wohlfahrtia magnifica maggots	C.Bizet, CIP, Institut Pasteur, Paris, France	2007-03-16
54527T	Sporosarcina macmurdoensis	Cyanobacterial mat sample	C.Bizet, CIP, Institut Pasteur, Paris, France	2007-03-16
54528T	Janibacter melonis	Melon, abnormally spoiled oriental melon	C.Bizet, CIP, Institut Pasteur, Paris, France	2007-03-16
54529T	Corynebacterium halotolerans	Saline soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2007-03-16
54492T	Pseudacidovorax intermedius	Soil	P.Kämpfer, Giessen, Germany	2007-03-13
54429T	Campylobacter canadensis	Whooping crane cloaca	G.Douglas Inglis, Lethbridge, Canada	2007-02-23
54409T	Prevotella nanceiensis	Human blood, 78-yr-old male	J.-P.Carlier, Institut Pasteur, Paris, France	2007-02-15
54389T	Desulfovibrio legallii	Sludge, bioreactor treating wastewater	M.-L.Fardeau, Marseille, France	2007-02-09
54354T	Salegentibacter salinarum	Marine solar saltern	Jung-Hoon Yoon, KRIBB, Taejon, South Korea	2007-02-06
54355T	Salegentibacter salarius	Marine solar saltern	Jung-Hoon Yoon, Daejon, Korea	2007-02-06
54356T	Microbulbifer celer	Marine solar saltern	Jung-Hoon Yoon, Daejon, Korea	2007-02-06
54357T	Marinobacter salicampi	Marine solar saltern	Jung-Hoon Yoon, Taejon, Korea	2007-02-06
54358T	Halobacillus seohaensis	Sediment, marine solar saltern	Jung-Hoon Yoon, KRIBB, Yusong, Taejon, Korea	2007-02-06
54359T	Pseudidiomarina salinarum	Marine solar saltern	Jung-Hoon Yoon, Daejon, Korea	2007-02-06
54360T	Halobacillus campisalis	Marine solar saltern sediment	Jung-Hoon Yoon, Daejon, Korea	2007-02-06
54348T	Nubsella zeaxanthinifaciens	Fresh water	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2007-02-05
54353T	Olivibacter domesticus	Compost, home-made	C.M.Manaia, Porot, Portugal	2007-02-05
54362T	Veillonella denticariosi	Human carious dentin, extracted tooth	R.Byun, Wentworthville, NSW, Australia	2007-02-05
54350T	Prevotella pleuritidis	Human pleural fluid, suppurative pleuritis	M.Sakamoto, JCM, Saitama, Japan	2007-02-02
54329T	Sphingobium olei	Soil, oil-contaminated	A.F.Yassin, University, Bonn, Germany	2007-02-01
54308T	Inhella inkyongensis	Freshwater from artificial pond	J.-S.Lee, KCTC, Daejeon, Korea	2007-01-29
54309T	Marinobacterium litorale	Seawater	J.-S.Lee, KCTC, Daejeon, Korea	2007-01-29
54311T	Rhodobacter vinaykumarii	Seashore water	Ch.Sasikala, Hyderabad, India	2007-01-29
54295T	Paraburkholderia ferrariae	High-phosphorous iron ore	C.Vereecke, LMG, Gent, Belgium	2007-01-26
54296T	Burkholderia mimosarum	Root nodules of Mimosa pigra	C.Vereecke, LMG, Gent, Belgium	2007-01-26
54297T	Burkholderia silvatlantica	Rhizosphere of maize var. Avantis A2345	C.Vereecke, LMG, Gent, Belgium	2007-01-26
54298T	Burkholderia tropica	Sugarcane, roots	C.Vereecke, LMG, Gent, Belgium	2007-01-26
54299 #T	Paraburkholderia nodosa	Nitrogen-fixing nodules on the roots of Mimosa s.	C.Vereecke, LMG, Gent, Belgium	2007-01-26
54291T	Enterocloster lavalenis	Human feces	M.G.Bergeron & M.-C.Domingo, Québec, Canada	2007-01-25
54292T	Ruminococcus gauvreauii	Human feces (rectal swab)	M.G.Bergeron & M.-C.Domingo, Québec, Canada	2007-01-25
54232T	Sphingomonas pseudosanguinis	Air humidifier	P.Kämpfer, Giessen, Germany	2007-01-15
54233T	Veillonella rogosae	Human supragingival plaque, caries free child	D.Beighton, King's College, London, UK	2007-01-15
54229T	Christensenella hongkongensis	Human blood, 48-yr-old man, intestinal obstruction	Susanna K.-P. Lau, Queen Mary Hospital, Hongkong	2007-01-12
53966T	Azospirillum rugosum	Oil contaminated soil	A.F.Yassin, University, Bonn, Germany	2006-12-20
53874T	Lactobacillus kitasatonis	Chicken intestine	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53875T	Selenomonas flueggei	Human gingival crevice	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53876T	Selenomonas noxia	Human gingival crevice, severe periodontitis	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53877T	Pseudomonas psychrophila	Cold room for food storage	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53878T	Pseudomonas cremoricolorata	Japanese rice paddy	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53879T	Serratia marcescens subsp. sakuensis	Water, domestic wastewater treatment tank	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53880 #T	Propionicimonas paludicola	Plant residue in irrigated rice-field	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53881 #T	Pseudomonas kilonensis	Agricultural soil	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53882T	Gordonia effusa	Human sputum, 74-yr-old man, kidney dysfunction	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53883T	Gordonia araii	Human sputum, 48-yr-old male, pneumonia	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53884T	Pseudomonas carboxydohydrogena	Sewage air tank	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53885T	Pseudomonas azotifigens	Compost pile	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53886 #T	Proteiniphilum acetatigenes	Granule sludge, UASB reactor, brewery waistwater	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53887T	Stenotrophomonas koreensis	Compost consisting of cow dung and rice straw	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53888 #T	Paludibacter propionicigenes	Soil, rice plant residue in anoxic rice field	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53889T	Bacteroides intestinalis	Human feces, healthy 32-yr-old female Japanese	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53890T	Bacteroides finegoldii	Human feces	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53892T	Phocaeicola dorei	Human feces	Y.Benno, JCM, RIKEN, Saitama, Japan	2006-12-12
53895T	Capnocytophaga canimorsus	Human blood, dog bite	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53896T	Mycobacterium branderi	Human sputum	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53898T	Neisseria dentiae	Cow, dental plaque of the domestic cow	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53899T	Aquabacterium citratiphilum	Drinking water biofilm	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53900T	Aurantimonas coralicida	Diseased tissue of a colony of the coral	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53901T	Apilactobacillus kunkeei	Partially fermented grape juice	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53902T	Hydrogenophaga atypica	Activated sludge	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53903T	Hydrogenophaga defluvii	Activated sludge	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53904T	Enterobacter hormaechei subsp. steigerwaltii	Human surgical wound	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53905T	Enterobacter hormaechei subsp. oharae	Human mouth	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53906T	Klebsiella variicola	Banana root (Musa sp.)	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53907T	Cupriavidus pinatubonensis	Volcanic mudflow	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53909T	Dokdonia genika	Sea mud sediment	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53910T	Stenotrophomonas dokdonensis	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-12-12
53849T	Clostridiisalibacter paucivorans	Wastewater, olive mill	P.-P.Liebgott, Marseille, France	2006-12-06
53854 #T	Wohlfahrtiimonas massiliensis	Human osteo-articular liquid, 67-yr-old man	V.Roux, Timone Hospital, Marseille, France	2006-12-06
53855T	Brevibacterium massiliense	Human external fixer	V.Roux, Timone Hospital, Marseille, France	2006-12-06
53856T	Corynebacterium timonense	Human blood, 56-yr-old man	V.Roux, Timone Hospital, Marseille, France	2006-12-06
53857T	Corynebacterium massiliense	Human infection, osteoarticular	V.Roux, Timone Hospital, Marseille, France	2006-12-06
53859T	Helcobacillus massiliensis	Human gall bladder, 58-yr-old man	V.Roux, Timone Hospital, Marseille, France	2006-12-06
53827T	Gordonia araii	Human infection, bioabsorbable implanted device	June M.Brown, CDC, Atlanta, GA, USA	2006-12-04
53828T	Pseudoxanthomonas spadix	Soil, oil contaminated sample	A.F.Yassin, University, Bonn, Germany	2006-12-04
53830T	Enterococcus silesiacus	Water, drinking water	D.Nováková, CCM, Brno, Czech Republic	2006-12-04
53831T	Enterococcus termitis	Termite gut	D.Nováková, CCM, Brno, Czech Republic	2006-12-04
53833T	Sphingobium francense	Soil, gamma-HCH-contaminated	D.Nováková, CCM, Brno, Czech Republic	2006-12-04
53834T	Pedobacter aquatilis	Water, drinking	D.Nováková, CCM, Brno, Czech Republic	2006-12-04
53816T	Helicobacter baculiformis	Feline gastric mucosa	M.Baele, Merelbeke, Belgium	2006-11-30
53819T	Jonquetella anthropi	Human cyst, 55 year-old patient	H.Marchandin, Montpellier, France	2006-11-30
53805T	Arcobacter halophilus	Water from hypersaline lagoon	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-11-29
53782T	Bacteroides xylanisolvens	Human feces, 31-yr-old male, healthy volunteer	A.Bernalier-Donadille, INRA, Saint Genès, France	2006-11-27
53773T	Pseudomonas borbori	A nitrifying inoculum	C.Vereecke, LMG, Gent, Belgium	2006-11-22
53775T	Pseudomonas peli	A nitrifying inoculum	C.Vereecke, LMG, Gent, Belgium	2006-11-22
53669 #T	Azomonas agilis		E.R.B.Moore, CCUG, Göteborg, Sweden	2006-11-20
53670 #T	Azotobacter beijerinckii	Sludge, activated	E.R.B.Moore, CCUG, Göteborg, Sweden	2006-11-20
53671T	Azomonas macrocytogenes	Soil, garden	E.R.B.Moore, CCUG, Göteborg, Sweden	2006-11-20
53674 #T	Azorhizophilus paspali	Soil, rhizosphere	E.R.B.Moore, CCUG, Göteborg, Sweden	2006-11-20
53675 #T	Azotobacter chroococcum		E.R.B.Moore, CCUG, Göteborg, Sweden	2006-11-20
53761 AT	Paenalcaligenes hominis	Human blood, 85-yr-old woman	Blood Dept, SU, Göteborg, Sweden	2006-11-20
53762T	Effusibacillus consociatus	Human blood, 51-yr-old woman, fever	PHLS, Karlstad, Sweden	2006-11-20
53722T	Cereibacter changlensis	Snow, enrichment culture	Ch.Sasikala, Hyderabad, India	2006-11-13
53723T	Cereibacter johrii	Rhizosphere soil	Ch.Sasikala, Hyderabad, India	2006-11-13
53682T	Morganella psychrotolerans	Cold-smoked tuna, outbreak of histamine poisoning	J.Emborg, Lyngby, Denmark	2006-11-07
53683T	Herminiimonas arsenicoxydans	Industrial sludge heavily contaminated w/arsenic	M.-C.Lett, Strasbourg, France	2006-11-07
53648T	Prevotella amnii	Human amniotic fluid, turbid and ill smelling	S.Kawash, PHLS, Eastern Hospital, Göteborg, Sweden	2006-11-01
53645T	Thermoanaerobacter mathranii	Hot spring	J.-P.Carlier, Institut Pasteur, Paris, France	2006-10-31
53626T	Ligilactobacillus ceti	Whale lung (Beaked whale: Ziphius cavirostris)	A.I.Vela, UCM, Madrid, Spain	2006-10-25
53607T	Sphingomonas jaspsi		Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53608T	Sphingomonas astaxanthinifaciens	Water, fresh	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53609T	Deinococcus depolymerans	Fresh water	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53610T	Deinococcus misasensis	Fresh water	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53611T	Deinococcus roseus	Fresh water	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53612T	Deinococcus aquiradiocola	Water	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53613T	Zeaxanthinibacter enoshimensis	Seawater	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53614T	Mesoflavibacter zeaxanthinifaciens ss zeaxanthinifaciens	Seawater	Dalal Asker & Kenji Ueda, Kameino, Fujisawa, Japan	2006-10-23
53604T	Burkholderia sartisoli	PAH contaminated site, spontaneous rifamp mutant	E.Vanlaere & P.Vandamme, LMG, Gent, Belgium	2006-10-19
53595T	Luteimonas composti	Compost, food waste	P.Kämpfer, Giessen, Germany	2006-10-18
53596T	Arenimonas malthae	Soil, oil contamination	P.Kämpfer, Giessen, Germany	2006-10-18
53591T	Herminiimonas contaminans	Contaminant, biopharmaceuticals	Anonymous, Sweden	2006-10-17
53584T	Mycobacterium shinjukuense	Human sputum, 75-yr-old female Japanese	T.Ezaki, Gifu University, Gifu, Japan	2006-10-16
53555T	Gordonia malaquae	Sludge, wastewater treatment plant	A.F.Yassin, University, Bonn, Germany	2006-10-11
53534T	Oceanobacillus caeni	Sludge, wastewater treatment plant, B3 system	Dong-Hun Lee, Cheongju, Korea	2006-10-06
53519T	Paenibacillus provencensis	Human cerebrospinal fluid, 54-yr-old man	Véronique Roux, Timone, Marseille, France	2006-10-05
53521T	Paenibacillus urinalis	Human urine, 36-yr-old woman	Véronique Roux, Timone, Marseille, France	2006-10-05
53522T	Actinomyces massiliensis	Human blood, 39-yr-old man, pleuropneumonia	Véronique Roux, Timone, Marseille, France	2006-10-05
53480T	Sporosarcina thermotolerans	Human blood, 54-yr-old woman	E.Svensson, Blood Dept, PHLS, Göteborg, Sweden	2006-09-26
53463T	Sphingomonas haloaromaticamans	Water and soil	W.-R.Abraham, Braunschweig, Germany	2006-09-21
53461 #T	Mycoplasma insons	Iguana, choana of a green iguana (Iguana iguana)	D.R.Brown, Gainesville, FL, USA	2006-09-19
53462T	Sphingomonas fennica	Water, contaminated boreal groundwater	W.-R.Abraham, Braunschweig, Germany	2006-09-19
53453T	Liquorilactobacillus ghanensis	Cocoa fermentation	D.Nielsen, KVL, Frederiksberg C, Denmark	2006-09-18
53443T	Yersinia massiliensis	Water, dialysis unit from hospital water system	M.Drancourt, Marseille, France	2006-09-14
53377T	Corynebacterium ureicelerivorans	Human blood, septicemia	A.F.Yassin, Bonn, Germany	2006-09-04
53370T	Deinococcus aquatilis	Water, industry	Anonymous	2006-09-01
53340T	Anaerococcus murdochii	Human ulcer, foot	Yuli Song, VAMC, Los Angeles, CA, USA	2006-08-28
53341T	Peptoniphilus gorbachii	Human abscess, groin	Yuli Song, VAMC, Los Angeles, CA, USA	2006-08-28
53342T	Peptoniphilus olsenii	Human tissue, toe	Yuli Song, VAMC, Los Angeles, CA, USA	2006-08-28
53298 #T	Arcanobacterium		Thierry De Baere, Univ.Hosp., Gent, Belgium	2006-08-15
53270T	Paenibacillus vulneris	Human necrotic wound, 35-yr-old man, ankle fracture	K.Öystese, University Hospital of Tromsö, Norway	2006-08-03
53252T	Corynebacterium hansenii	Human liposarcoma, 77-yr-old patient	F.N.R.Renaud, Univ.Claude Bernard, Lyon 1, France	2006-07-24
53230T	Chromobacterium haemolyticum	Human sputum (doubtful clinical significance)	X.Y.Han, M.D.Anderson Cancer Center, Houston, USA	2006-07-17
53218 #T	Limosilactobacillus secaliphilus	Rye sourdough	M.Ehrmann, Freising, Germany	2006-07-13
53213T	Bartonella washoensis subsp. cynomysii	Black-tailed prairie dog blood (Cynomys ludovici.)	M.Kosoy, Colorado, CO, USA	2006-07-12
53179 #T	Mycoplasmopsis alligatoris	American alligator (Alligator mississippiensis)	D.R.Brown, Gainesville, Florida, USA	2006-06-30
53180 #T	Mycoplasmopsis agassizii	Tortoise nares, Gopherus agassizii, U Resp T disease	D.R.Brown, Gainesville, Florida, USA	2006-06-30
53181 #T	Malacoplasma microti	Prairie vole (Microtus ochrogaster)	D.R.Brown, Gainesville, Florida, USA	2006-06-30
53174T	Companilactobacillus crustorum	Sourdough	I.Scheirlinck, LMG, Gent, Belgium	2006-06-29
53151T	Williamsia serinedens	Soil, oil contaminated site	A.F.Yassin, University, Bonn, Germany	2006-06-22
53152T	Lysobacter defluvii	Municipal land fill waiste	A.F.Yassin, Bonn, Germany	2006-06-22
53114T	Pseudomonas moorei	Sediment, enrichment	B.Cámara & D.H.Pieper, HZI, Braunschweig, Germany	2006-06-19
53115T	Pseudomonas mohnii	Sequencing batch bioreactor, stationary enrichment	B.Cámara & D.H.Pieper, HZI, Braunschweig, Germany	2006-06-19
53116T	Pseudomonas reinekei	Continuous enrichment on 4-chlorosalicylate	B.Cámara & D.H.Pieper, HZI, Braunschweig, Germany	2006-06-19
53117T	Kinneretia asaccharophila	Freshwater	J.Pinhassi, University of Kalmar, Sweden	2006-06-19
52993T	Burkholderia bryophila	Mosses/lichens (Sphagnum rubellum)	E.De Brandt/P.Vandamme, LMG, Gent, Belgium	2006-05-23
53006T	Burkholderia megapolitana	Mosses/lichens (Aulacomnium palustre)	E.De Brandt/P.Vandamme, LMG, Gent, Belgium	2006-05-23
52977T	Sneathia vaginalis	Human blood, 32-yr-old woman, peripartum bacteremia	S. De Martino, LPU, Strasbourg, France	2006-05-22
52969T	Myroides ceti	Whale liver, beaked whale (Cetacea:Ziphiidae)	J.F.Fernández-Garayzábal, Madrid, Spain	2006-05-18
52972T	Streptococcus plurextorum	Pig lung, animal with lesions from pneumonia	J.F.Fernández-Garayzábal, Madrid, Spain	2006-05-18
52917T	Modicisalibacter tunisiensis	Water, oil field, enrichment on crude oil	Z. Ben Ali Gam, Marseille, France	2006-05-08
52896T	Chryseobacterium daecheongense		J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52897T	Sphingobium chungbukense		J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52898T	Herbaspirillum chlorophenolicum	Soil sediment	J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52900T	Chryseobacterium taeanense		J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52901T	Tetragenococcus koreensis	Kimchi	J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52902T	Sphingopyxis granuli		J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52903T	Fulvimarina pelagi	Sea water	J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52904T	Chryseobacterium soldanellicola	Root of Calystegia soldanella	J.-S.Lee, KCTC, Daejeon, Korea	2006-05-03
52867T	Yersinia enterocolitica subsp. palearctica	Human stool	H.Scholz, Bundeswehr, München, Germany	2006-05-02
52872T	Yersinia aleksiciae	Human feces	H.Scholz, Bundeswehr, München, Germany	2006-05-02
52882T	Yersinia similis	Oryctolagus cuniculus	H.Scholz, Bundeswehr, München, Germany	2006-05-02
52863T	Photococcus caeruleum	Shrimp surface	B.J.Bratina, Univ.of Wisconsin, La Crosse, USA	2006-04-28
52860T	Avibacterium endocarditidis	Adult broiler parent hen, valvular endocarditis	H.Christensen, KVL, Frederiksberg, Denmark	2006-04-27
52861T	Psittacicella hinzii	Budgerigar lung	H.Christensen, KVL, Frederiksberg, Denmark	2006-04-27
52843T	Levilactobacillus namurensis	Sourdough based on wheat, rye and spelt flour	I.Scheirlinck, LMG, Gent, Belgium	2006-04-24
52837T	Polaromonas vacuolata	Marine water	P.Kämpfer, Giessen, Germany	2006-04-21
52767T	Mitsuaria chitosanitabida	Soil	J.Lalucat, Palma de Mallorcca, Spain	2006-04-07
52769T	Pelomonas puraquae	Water, hemodialysis	J.Lalucat, Palma de Mallorca, Spain	2006-04-07
52764T	Chryseobacterium anthropi	Human blood, 78-yr-old man, Candida endocarditis	G.Wauters, UCL, Brussels, Belgium	2006-04-06
52711T	Chryseobacterium hominis	Human blood, 48-yr-old woman	G.Wauters, UCL, Brussels, Belgium	2006-03-30
52648T	Moryella indoligenes	Human abscess	C.Bizet, CIP, Institut Pasteur, Paris, France	2006-03-16
52597T	Neisseria animaloris	Human thumb wound	P.Vandamme, LMG, Gent, Belgium	2006-03-08
52598T	Neisseria zoodegmatis	Human wound, dog-bite	P.Vandamme, LMG, Gent, Belgium	2006-03-08
52575T	Pelomonas aquatica	Water, industry	Anonymous, Sweden	2006-03-02
52546T	Chryseobacterium ureilyticum	Steel surface of a beer bottling plant	André Lipski, Univ. of Osnabrück, Germany	2006-02-27
52547T	Chryseobacterium molle	Steel surface of a beer bottling plant	André Lipski, Univ. of Osnabrück, Germany	2006-02-27
52548T	Chryseobacterium pallidum	Steel surface of a beer bottling plant	André Lipski, Univ. of Osnabrück, Germany	2006-02-27
